id,scenarioName,targetMetric,predictedImpactPercentage,predictedCostSavings,predictedROI,confidenceLevel,timeToRealizeMonths,status
"88","Sim-88: Implement 4-Day Work Week Trial globally","Productivity Impact","-8.18","-215227","11.88","97","10","Completed"
"89","Sim-89: Outsource Tier 1 Customer Support","CSAT Impact","14.53","892929","14.33","80","7","Completed"
"90","Sim-90: Reduce APAC Headcount 5% & Increase R&D by 10%","Productivity Impact","-0.27","307188","10.86","72","21","Approved"
"91","Sim-91: Implement 4-Day Work Week Trial globally","Productivity Impact","11.61","176233","-2.20","91","15","Processing"
"92","Sim-92: Increase Base Salaries by 5% to combat Attrition","Attrition Impact","2.54","-66981","0.82","94","11","Draft"
"93","Sim-93: Outsource Tier 1 Customer Support","Productivity Impact","-7.24","1847930","-5.47","71","24","Draft"
"94","Sim-94: Open New Engineering Hub in LATAM","Attrition Impact","-2.46","595829","-1.91","94","10","Draft"
"95","Sim-95: Reduce APAC Headcount 5% & Increase R&D by 10%","Revenue Impact","1.59","1101831","-6.06","84","24","Rejected"
"96","Sim-96: Reduce APAC Headcount 5% & Increase R&D by 10%","Operating Cost Impact","9.54","440767","25.84","66","11","Processing"
"97","Sim-97: Mandate 3-Days in Office","Attrition Impact","-5.39","1416533","43.24","92","12","Draft"
"98","Sim-98: Implement 4-Day Work Week Trial globally","Operating Cost Impact","20.50","-153874","22.62","73","17","Processing"
"99","Sim-99: Increase Base Salaries by 5% to combat Attrition","Productivity Impact","20.17","1523264","7.20","91","12","Completed"
"100","Sim-100: Increase Base Salaries by 5% to combat Attrition","Productivity Impact","18.14","1568479","23.21","85","2","Completed"
